Name,GUID
Abaddon,bf33c2ae-7843-49cd-9a2e-27123a3753b9
Abyssal Binding,4199ec3c-e6fa-4be5-abae-25389b55edd4
Abyssal Chain,7618d6fd-3268-47ce-af1e-71e31ecb7e76
Abyssal Pearl,d09f42e0-f178-40df-9f39-8e98b7931bed
Abyssal Shield,762f720e-cd71-4ed5-82a3-3d72f154a359
Abyssal Staff,2bbbb4b8-76f1-428f-8297-dc6a92fbf373
Adamant Band,b7191d05-aedb-414f-b8a3-4e02aba96742
Adamant Chain,410827e9-6ee7-475c-a345-06703e2a9787
Adamant Fragments,f3263f4e-789f-44c3-9606-5f7d580be10b
Adamant Helm,b4745f4a-2c7f-4347-855c-52dcb0618f53
Adamant Platemail,529c832f-ef04-44e1-875f-4707c08b65c4
Amber,0b14de73-f229-4581-bf74-724003348cd2
Amber Necklace,6b222fef-8766-4edb-b210-0091800e7a4c
Amber Ring,0b92cbd6-8583-4afe-badd-08c7b0894b77
Amulet of Alacrity,85b9fbd8-d703-43df-9046-e65a9e3e015c
Amulet of Brilliance,14773b08-c646-4bf3-839c-10002cb45410
Amulet of Power,cf45dde4-bdb1-43e4-a0d1-2747718cd941
Amulet of Vision,577e48a9-7233-4c17-8e87-be413b235564
Ancient Staff,b4eb38bd-dd99-4302-9c87-e6ff727ef72a
Ancient Sword,e2fb1e3f-d9e1-4314-bd0d-5d61fcd2fb5f
Anglerfish,2929f176-8a96-4e55-9301-abd3220374c2
Animal Furs,6cd368cc-8819-4e18-a7ee-cf3cc79e6d1d
Animal Hide,f5fde924-f75c-4624-9073-9546094a8087
Anthulk Shell,8f569cc5-fab8-4443-a821-4bc270d874d3
Antidote,26815742-019e-4012-9f89-424efd17a974
Apocalypse,7441227a-e26f-4fbb-8aa6-e298f6f0510f
Aquamarine,a09df2df-cf43-40f6-b282-082a9377b3a1
Arcane Axolotl,97672a8b-c5dd-4e04-810b-9250d0a4b915
Arcane Pillar,bfcfda64-cc03-4c1f-80f9-bd668faff2a0
Arcane Robes,0890c75e-1ea7-472d-990d-27b08f4fa31a
Arcane Sceptre,f4330e91-a25b-48db-bcf6-6e409330887b
Arcane Veil,2edd6abc-9eed-4f5e-af27-7c2d1fa1d4d6
Archer's Cap,7add926d-85e0-4ae7-8cf1-05708360b167
Archer's Garb,73335931-edb3-435e-8b68-fa3b31df3d83
Arena Plate,4aecc235-f919-4bd9-b11a-cb0fd6eaba70
Artic Fox Fur,ff471be6-bf69-4e02-8ee8-c12850724612
Ashroot,ade95692-d435-4382-bb1a-14a8c2a3930c
Ashweed,1538fe77-2a27-4048-90f7-f46e0541ce18
Assassin's Edge,3453f694-8e51-478d-a1bc-8600052b071a
Assassin's Garb,79e1f0fc-2766-42f1-8436-8076ee1b9b12
Assassin's Mask,deaaf53a-546d-44e4-8819-65aafdaef284
Assistant's Attire,dd7eba00-cfeb-496b-a21c-0c11d0bf09a2
Assistant's Cap,46a850f1-0580-4dbd-9954-941815c10a06
Azure Crab,38368777-3c75-4feb-99bc-5bdc6b056b05
Azurite Crystal,d2e5b2fd-b0df-4baf-a621-caaececaa6c7
Bagh nakha,c1f1075c-c2bf-4500-87d3-35ee8a670de7
Band of Blades,ba2a65cf-3ae3-45bd-9e23-f61fa508ef6d
Band of Freedom,d0e6057c-a372-48ca-b5f0-8c6a855487ff
Barbute,9ccc01b4-b43c-41bf-8dc7-015c374447c4
Battered Heater,ed52cf70-dc25-45eb-9b99-a4910ed64c35
Battle Hammer,b834cf42-28d9-45ff-853c-ef0fae3db032
Bear Charm,16db9cce-c21b-4303-9163-f6487fa6a89e
Bear Claw,577c048f-733c-4762-850f-27d415f3b563
Beatin' stick,93c0a514-8536-44c0-bda6-f4ce060bb4de
Bedlam Burner,f5cf4baa-f83c-4216-b54b-ab9a08f77584
Bent Rod,7955af18-06c8-4200-8ee9-78c575f7a99d
Bewitched Bones,4970573b-c142-4f3e-a99f-eec05deda2cb
Big Bag of Voodoo,4d4e518a-06d3-4fed-ac8f-57da14cdc9aa
Big Game Hunter,28fd2094-1682-4e47-84b9-f486a9503c4b
Bioluminescence Gland,76c2b901-ffc8-4879-94c0-798434abb63d
Bishop Staff,82097ee5-2740-4924-8328-785672c12615
Black Belt,c7f1ce4b-81ac-4c1f-b86a-d1bea957f750
Black Crusade,2dde6a57-f77e-488b-902d-52161d659ed6
Black Dragon Eye,8ee67fec-9506-4b46-bec8-fb2d8b5b3f21
Black Dragon Scale,1285393b-491a-4703-a5df-a03008b6b346
Black Opal,5e9ea612-b734-4be3-8d19-0fe8581d55a5
Black Sapphire,d6f9c8c8-b1fc-4e5f-9183-bf52afc605e1
Blackguard,176be84e-ed3c-44ea-b584-775427296cab
Blackguard Casque,e9ac2c64-7154-4670-a990-a826de2a322b
Blackguard Chainmail,d041c0fc-ad3b-41ce-be62-7eeb3137c98a
Blade Fist,dd1b3fcc-8561-4653-9459-ff692b8089da
Bladed Buckler,6b8a65d5-4c05-4429-9570-6dded13ce7f9
Bladed Great Helm,983e2110-a81d-40e1-b671-b6f1cd7d6833
Bladed Helm,ce3577b8-3cf2-4a67-844a-b8ef51d086b7
Bladed Mail,83533590-ce07-4a16-a920-b795826d9d3d
Bleeding Band,5315dfad-5620-45af-8b0a-dd39d4e980b0
Blessed Locket,668696f7-e6a1-4760-9757-45bb0a59bc31
Blighted Band,bdda71bd-820e-4956-84fa-4ab72aba2500
Blood Berry,58702e40-64f7-458b-a09e-f834664237bc
Blood Mask,f2e0e37e-0290-434b-892c-6137fcf47c7d
Blood Mask Tunic,955cc3f7-0318-449d-bfe2-8d8895dfbd8a
Blood Runed Cleaver,76ec55f7-18e0-45f2-a62d-07217ec77656
Bloodletter,8962e598-194b-4953-b522-813e95e58298
Blue Dragon Eye,aac8e9c8-5833-45b4-b990-00a46bc59b58
Blue Dragon Scale,ee3a1ec9-22ca-4e8c-8175-0ac1da438423
Blue Drake Scale,eb55027e-7408-418e-a033-e3210e0acae1
Blunderbuss,024c0b5c-be1b-412c-a4e2-4736f7eff3e6
Boar Charm,d48f01c4-f602-4f32-99ef-93683b6c8972
Boarding Axe,ef1e68f2-e4f7-4958-bd07-d87b4d7174cc
Bone Cleaver,c4759605-bf39-4d93-ad81-14c5a6904e4e
Bone Dust,a40a2c40-576b-4e68-9ebf-264055e4aa39
Bone Jester Jacket,205d3091-850a-43bf-ae4a-d5a8859364d4
Bone Jester Mask,26b917a2-2c1c-4dfe-83c6-3cd07249f763
Bone Ring,6735958b-c8e2-4f4b-8261-e07a0e9c4f1e
Bone Shard,9f1a366f-1321-40eb-afb6-52b47edd88dc
Bone Shiv,a0322938-bf9a-4186-bd04-ad45649c7ac1
Boot Blade,51e7b9f9-447a-429c-a515-a33f9b7f0525
Bottled Anger,5585cddc-b4fe-4da9-b567-f19da1165130
Bottled Fury,a0d0e1f2-2a09-4e98-96c6-48e5dec0b70a
Bottled Irritation,8ef75772-9eb0-48b7-9292-7bddf3b7e573
Bottled Rage,b3b35eb1-6777-4b44-b7c8-7a7e3c01b543
Bottled Wrath,34de72ec-380f-4f14-95d2-305a062f7c8f
Bowie Knife,ef32897b-5b8f-4282-ac97-e0a7d55f2f67
Brass Chain,c0fd6fc4-799e-4ec4-84fe-d02000664860
Brass Knuckles,5edb4a2b-13b8-426e-88f1-8d7d44313ec5
Brass Loop,fc9aafc3-bdc3-4f22-86de-388d9d089584
Breastplate,1f6d3ea2-5d5f-49ef-8afa-3f4829b413b3
Bristlethorn,44bae90c-94d4-4af4-8ac6-8681c994e234
Broadsword,5dd85cb6-baa9-470a-8f45-0702061c863b
Broken Blade,9fdd0bb3-e160-4e84-84ac-57a1072e8c1f
Broken Sword,34a09449-3ab3-4793-b72f-26809f704eac
Bronze Pendant,850767a0-149c-4ce6-9cf8-3a4236057390
Bronze Ring,8bb77c52-d62d-4eb0-be52-5c611064e3fe
Burning Core,30ab083a-4665-4e70-833f-13e8e71b8fd2
Cactusblossom,c19b2197-594e-441b-a9e1-cd06c4ec012e
