Name,GUID,Type,Description
Abyss,641c2459-d392-4592-baba-2696b23d2e4f,ItemMod,Shadow skill damage increased by [15]%
Agile,5c89c871-9160-47c0-85a4-3d9b248b7bc3,ItemMod,Dexterity increased
Agile,406aebd2-737e-4660-8135-5b7319be0539,ItemMod,Dexterity increased by [9]
Amber,b3ff6a4a-17a9-4311-8991-4787d6cd5431,ItemMod,Lightning Resistance increased by 10%
Angel,0b2c27f7-9e9b-418f-9342-b7dfcf5a36ec,ItemMod,Divine Resistance increased by 10%
Apprentice,51b23f75-ee7b-4384-9566-2be43aa97cf0,ItemMod,Armor increased by 5%
Apprentice,e1f98b53-381c-456c-b9d8-50eddd2af402,ItemMod,Weapon damage increased by [12]%
Aquamarine,57ccef5e-66ca-412f-87d8-1610659a3a6f,ItemMod,Cold Resistance increased by 5%
Artificer,0fd7c832-b731-4643-ba76-300f895b5c99,ItemMod,Armor increased by 35%
Artificer,b0bea3c2-dc13-4479-a2c1-4d7be200e014,ItemMod,Weapon damage increased by [24]%
Artisan,2491e2e3-af12-47fd-a380-0f9d44735f88,ItemMod,Armor increased by 15%
Artisan,b13cff2b-5355-4fb4-a726-755dc600e53f,ItemMod,Weapon damage increased by [16]%
Avalanche,53e647fe-1254-453d-93ed-41d1adb24d26,ItemMod,Cold skill damage increased by [15]%
Barbed,f1b1bd50-c3c3-4ace-9661-a6a852a4a650,ItemMod,Physical Damage Return +8.
Barbs,9a19c697-fce4-42b1-8734-bff32afcab1f,ItemMod, +[16] Physical Damage Return.
Befouled,ac88a199-5429-4925-9400-87da585a5a99,ItemMod,+[2] Damage to Shadow
Behemoth,2ed3bac9-3fdd-4bce-aaaa-e8e0cdb7dd75,ItemMod,"Weapon damage increased by [25]%
Movement points lowered by 1"
Bestowing,e027208e-daf6-4045-b2a2-5895b018d8f9,ItemMod,Summon resistance increased
Bestowing,4df430a4-f95f-41ef-a0a2-7e5e28136be0,ItemMod,Summon resistance increased by 5%.
Blessed,6c42cc59-24eb-41e0-bcc4-0fe7fe1c3cdb,ItemMod,Item attributes increased by 10%
Blessed,93f610b9-2ad8-4e15-b173-3682fb8382d4,ItemMod,+[4] added Healing.
Blighted,ad889202-eb31-4fe7-bae5-c179a64c92f4,ItemMod,Shadow skill damage increased
Blighted,d226c2fc-af35-4b8f-9d50-72a9ec04ca71,ItemMod,+[6] Damage to Shadow
Bolstered,54a8f0c1-cf5a-4cf8-8a55-f30984d2891f,ItemMod,+20 added Physical Armor
Brawny,fe91f6c3-8b08-4635-8690-860ccd3390fc,ItemMod,Might increased by [3]
Bright,f63be1ab-b4be-4f19-8a91-4906b7118c2a,ItemMod,Intelligence increased
Bright,b5c28dd8-804b-4228-b10e-b71029ba0df9,ItemMod,Intelligence increased by [6]
Brilliant,89aaabd5-e9af-47a5-ba69-bc17dc110c29,ItemMod,Intelligence increased
Brilliant,a2682b6b-e2f1-44bc-af80-041c2f1b96f6,ItemMod,Intelligence increased by [12]
Bristles,a441c670-aa14-4b64-80cd-587ea944ec6b,ItemMod, +[4] Physical Damage Return.
