"Name","GUID","Type"
"AbilityPower","736e0afb-5c90-4067-b2e9-27770b5f8bd1","CharacterAttribute"
"Abyss","822d3bb5-05ff-4f6a-b5dc-fed2be34709b","CharacterAttribute"
"Acid Spit","3f6d150e-d18c-4464-869a-fe5aba0efcdc","SkillInfo"
"ActionPoints","3fee552f-5899-49f0-9679-7526657416d1","CharacterVariableAttribute"
"ActionStatusDurationModBeneficialSource","2d8d6d24-a19a-494a-b6c8-37797a2395e7","CharacterAttribute"
"ActionStatusDurationModBeneficialTarget","277a6457-5673-4caa-a04c-5a77aac60d12","CharacterAttribute"
"ActionStatusDurationModHarmfulSource","07ddb322-d1a4-4ec5-88c7-1fc1f57897d3","CharacterAttribute"
"ActionStatusDurationModHarmfulTarget","f25a8962-77ca-493b-ace2-3da70c90c2f6","CharacterAttribute"
"AdditionalRoguelikeAttributesPointsPerLevel","1cf764c7-1ffc-4165-a1d7-18887985fa8b","CharacterAttribute"
"AdditionalRoguelikeSkillOptions","4d8a59b4-bddd-49af-b7f0-f7876021be47","CharacterAttribute"
"AdditionalWeaponDamage","5ece5496-dac3-4612-912e-f14b536ed8e8","CharacterAttribute"
"AiControlledPlayer","44a1b9b7-f055-4096-bd3a-3092e3444322","CharacterAttribute"
"Ambush","94d16e6c-a08d-4c6e-9f99-fa41a246d38d","CharacterAttribute"
"AnyBlock","841d36ee-f5b2-4719-9594-dfd7f13af765","CharacterVariableAttribute"
"AnyShield","eed71b3c-9625-4952-be21-ddd7a9bc38e4","CharacterVariableAttribute"
"APCostMod","71c85155-91fc-4ff6-99e6-64a0c0b26a2a","CharacterAttribute"
"APCostModBasic","d7ad5021-148c-4bef-a018-714a67142f24","CharacterAttribute"
"APCostModCold","929749fa-7e5b-4e6c-aa2f-d9132c4e7918","CharacterAttribute"
"APCostModFire","342a4123-4729-43d0-8287-f3ee8f63b23b","CharacterAttribute"
"APCostModInnate","364bfc34-f4ba-4526-893b-dc7a3e03569d","CharacterAttribute"
"APCostModLight","735cd673-aa39-4cb3-84d7-0ddcf55438ae","CharacterAttribute"
"APCostModLightning","b3a50952-869c-4614-8831-8cec58a714fd","CharacterAttribute"
"APCostModMonk","3fe0f17d-d9fb-4551-9211-d513f6a3212a","CharacterAttribute"
"APCostModRanger","10cd056e-4408-486f-bf8e-9e3affefd0a2","CharacterAttribute"
"APCostModShadow","6373cf91-3a60-4025-80ef-0a19701efb2f","CharacterAttribute"
"APCostModThief","1f271125-7bdd-4310-a02a-991e68de23b1","CharacterAttribute"
"APCostModWarrior","6a8c0e0c-658a-448e-9d8a-01732e419e0a","CharacterAttribute"
"Armor","8d283c8c-162b-4b82-b028-14a565a3e0c8","CharacterAttribute"
"AttributePoints","5996bc49-f493-4ff6-9f1f-467ab1764a54","CharacterAttribute"
"AvatarOfFlame","9dae23b4-7ece-4188-9705-d98b899729b2","CharacterAttribute"
"BallLightningAmount","dac9c47c-9cfd-4324-957f-ccd5392a1f0b","CharacterAttribute"
"BasicAttackCostOverride","d301c7bb-0e65-49bc-8da1-246969a599f1","CharacterAttribute"
"BasicAttackCostOverrideValue","ad911261-3b9e-47da-91c5-95af0becb5d7","CharacterAttribute"
"BAS_Melee","008d709a-5047-4863-a9cd-3749d16cbe4c","SkillInfo"
"BAS_Melee Greater Werewolf","9f44934a-d79b-46be-9fc2-8debd9bf4cd0","SkillInfo"
"BAS_Melee Werewolf","aeda6f75-cf19-4897-8f6b-e146bffcfb0f","SkillInfo"
"BAS_Melee_Healing","862e939c-d475-4337-8b49-2fb5739ab7da","SkillInfo"
"BAS_Ranged","2d867f05-d299-418f-9924-b88b3112d243","SkillInfo"
"BAS_Ranged_Healing","cf4fdfdc-da16-44d7-9419-05059b6c22e1","SkillInfo"
"BAS_Staff","c0acb8bd-71ad-4ca5-a5df-51bccdb8d4c5","SkillInfo"
"BAS_Staff_Healing","1d38f72e-162f-4ff6-97a0-66b719709972","SkillInfo"
"BAS_Unarmed","9d48e6f2-b1e2-43cd-a6e4-448ae0f77a8f","SkillInfo"
"BAS_Unarmed_Healing","f1a8402b-e82d-453e-8d0f-50d347122172","SkillInfo"
"BattlePointValueMod","b009fc64-f480-4ff6-abbe-2b75547824b7","CharacterAttribute"
"BleedingDamage","bf4e0d07-1d36-4c44-b3a5-806a0abb8909","CharacterAttribute"
"Blind","de0e42b7-a78d-4160-8a21-5fc99288613a","CharacterAttribute"
"BlockAll","2a69a352-93c4-4c30-a767-17d6f0e49d8a","CharacterAttribute"
"BlockCold","8f036797-d32c-4375-a978-47d17469a23c","CharacterAttribute"
"BlockElemental","4449d026-64be-4a07-8d10-bc32c44a7d1b","CharacterAttribute"
"BlockFire","b80f0af4-eb46-4177-a653-73352803020b","CharacterAttribute"
"BlockLightning","7ca988c2-5663-494d-8de1-e4e0aefad76c","CharacterAttribute"
"BlockPhysical","63978e62-3ea1-4ddb-be83-2281d3582b45","CharacterAttribute"
"BonusActionPoints","f3b8f912-51ba-4302-843f-27241b93c2c0","CharacterVariableAttribute"
"Boss_Haunt","b5b6e6c2-2de6-4751-8713-4844a788eda7","SkillInfo"
"Boss_Tainted Touch","f4130c77-6530-4d7b-a0fe-5a875bd65066","SkillInfo"
"Boss_Tainted Touch Baron","6f45799d-b5bc-4346-9c35-b6d733966907","SkillInfo"
"BraceForImpact","175020f0-e16f-4e44-91c6-90b2bc377bf2","CharacterVariableAttribute"
"BreakTheIce","92effb92-c184-4023-b34c-b04693eae26a","CharacterVariableAttribute"
"Bristles","b3d3a687-a48c-490c-adfd-1da67ed7584b","CharacterAttribute"
"CallOfTheGrave","42af6cde-c08e-4806-95f7-ac190a45d1e1","CharacterAttribute"
"CallOfTheWild","9ef3555b-9b62-4892-b9e0-e5116b0233d4","CharacterAttribute"
"CanDualWieldTwoHanded","a0de1395-a76e-402c-ae01-60e450772a95","CharacterAttribute"
"CanEnrage","f606a1ca-9d99-405e-a1d2-b5a6c83f6901","CharacterAttribute"
"Champion_Mass Thunder Bolt","6e20a3cd-c108-4036-8b67-bdd89c9e394a","SkillInfo"
"CHAOS_1_A1_Switcheroo","14ac1be9-5d84-43ef-8916-684ffc382d6e","SkillInfo"
"CHAOS_1_A2_Chaos Crash","c3994cc8-2434-47c2-9edf-505a18032c08","SkillInfo"
"CHAOS_1_A3_Chaos Curse","a4f7b6ad-c1ce-45b0-9bf1-0110e5ede677","SkillInfo"
"CHAOS_1_A4_Telekinesis","f8acf9b3-65b9-48d5-a2e7-555019143e4d","SkillInfo"
"CHAOS_1_P1_Omnism I","922a71d3-2ba7-4ad1-be99-d4a05ee2d4d7","SkillInfo"
"CHAOS_1_P2_Sustenance I","b0c4e385-309e-4e1c-9629-cb74003ff290","SkillInfo"
"CHAOS_1_P3_Disruption I","8431592e-f14e-4e4e-99f9-7d701d160a37","SkillInfo"
"CHAOS_2_A1_Helping","afca6d5f-1259-46f0-b6b2-ff886b117036","SkillInfo"
"CHAOS_2_A2_Hurting","fc596611-c9a0-4066-a5dd-2041ff116839","SkillInfo"
"CHAOS_2_A3_Chaos Cut","1b34defd-48ab-4374-a61f-d42c26edc240","SkillInfo"
"CHAOS_2_A4_Magic Hat I","39da7bfe-62a9-42c9-b6c6-440803a481c5","SkillInfo"
"CHAOS_2_P1_Omnism II","83da8365-956a-4d96-a7d2-4b91dea1c27c","SkillInfo"
"CHAOS_2_P2_Sustenance II","ad41f5ac-7da8-4b40-b245-858d3c233159","SkillInfo"
"CHAOS_2_P3_Disruption II","2ad638af-ade9-4047-9bfb-0bdea0b2e4ba","SkillInfo"
