Name,GUID,Type,Description
Acid Spit,3f6d150e-d18c-4464-869a-fe5aba0efcdc,SkillInfo,Hurls a bolt of fire dealing *0 fire damage to a single target. 
BAS_Melee,008d709a-5047-4863-a9cd-3749d16cbe4c,SkillInfo,Deals *0 weapon damage to target. 
BAS_Melee Greater Werewolf,9f44934a-d79b-46be-9fc2-8debd9bf4cd0,SkillInfo,Deals *0 weapon damage to target 3 times.  Applies {STA=Bleeding} on hit.
BAS_Melee Werewolf,aeda6f75-cf19-4897-8f6b-e146bffcfb0f,SkillInfo,Deals *0 weapon damage to target 2 times.  Applies {STA=Bleeding} on hit.
BAS_Melee_Healing,862e939c-d475-4337-8b49-2fb5739ab7da,SkillInfo,"Deals *0 weapon damage to target. 

When targeting an ally, heals for *0."
BAS_Ranged,2d867f05-d299-418f-9924-b88b3112d243,SkillInfo,Deals *0 weapon damage to target. 
BAS_Ranged_Healing,cf4fdfdc-da16-44d7-9419-05059b6c22e1,SkillInfo,"Deals *0 weapon damage to target. 

When targeting an ally, heals for *0."
BAS_Staff,c0acb8bd-71ad-4ca5-a5df-51bccdb8d4c5,SkillInfo,Deals *0 weapon damage to target. 
BAS_Staff_Healing,1d38f72e-162f-4ff6-97a0-66b719709972,SkillInfo,"Heals target ally for *0.  

When targeting an enemy, deals *0 Holy Damage."
BAS_Unarmed,9d48e6f2-b1e2-43cd-a6e4-448ae0f77a8f,SkillInfo,Deals *0 weapon damage to target. 
BAS_Unarmed_Healing,f1a8402b-e82d-453e-8d0f-50d347122172,SkillInfo,"Heals target ally for *0.  

When targeting an enemy, deals *0 Holy Damage."
Boss_Haunt,b5b6e6c2-2de6-4751-8713-4844a788eda7,SkillInfo,"Deals *0 shadow damage to the target every turn for 3 turns. @Life Steals@ for 8%. 

@Life Steal@ heals you for a percentage of your @max health@ each time you hit. Reduced for area of effect abilities."
Boss_Tainted Touch,f4130c77-6530-4d7b-a0fe-5a875bd65066,SkillInfo,"Reaches out to the target with dark energy dealing *0 shadow damage. @Life Steals@ for 15%.

@Life Steal@ heals you for a percentage of your @max health@ each time you hit. Reduced for area of effect abilities."
Boss_Tainted Touch Baron,6f45799d-b5bc-4346-9c35-b6d733966907,SkillInfo,"Reaches out to the target with dark energy dealing *0 shadow damage. @Life Steals@ for 15%.

@Life Steal@ heals you for a percentage of your @max health@ each time you hit. Reduced for area of effect abilities."
Champion_Mass Thunder Bolt,6e20a3cd-c108-4036-8b67-bdd89c9e394a,SkillInfo,Summon a Skeletal Lackey to fight by your side.
CHAOS_1_A1_Switcheroo,14ac1be9-5d84-43ef-8916-684ffc382d6e,SkillInfo,"Swap places with an @Enemy@, @Ally@, or @Object@."
CHAOS_1_A2_Chaos Crash,c3994cc8-2434-47c2-9edf-505a18032c08,SkillInfo,Hurls a bolt of chaos dealing damage to a single target. Every damage type has a 50% chance to deal *0 damage.
CHAOS_1_A3_Chaos Curse,a4f7b6ad-c1ce-45b0-9bf1-0110e5ede677,SkillInfo,Curses the target to take damage. Each element has a @50%@ chance to deal *0 damage every turn.
CHAOS_1_A4_Telekinesis,f8acf9b3-65b9-48d5-a2e7-555019143e4d,SkillInfo,Moves any @Object@ within 8 hexes.
CHAOS_1_P1_Omnism I,922a71d3-2ba7-4ad1-be99-d4a05ee2d4d7,SkillInfo,Increases the effectiveness of shrines by 8%.
CHAOS_1_P2_Sustenance I,b0c4e385-309e-4e1c-9629-cb74003ff290,SkillInfo,Consuming any Globule heals you for 8% of max life and mana.
CHAOS_1_P3_Disruption I,8431592e-f14e-4e4e-99f9-7d701d160a37,SkillInfo,4% chance to negate all damage when taking damage.
CHAOS_2_A1_Helping,afca6d5f-1259-46f0-b6b2-ff886b117036,SkillInfo,Offer your chaotic assistance to the target ally. Results may vary greatly...
CHAOS_2_A2_Hurting,fc596611-c9a0-4066-a5dd-2041ff116839,SkillInfo,Chaotically harm the target enemy. Results may vary greatly...
CHAOS_2_A3_Chaos Cut,1b34defd-48ab-4374-a61f-d42c26edc240,SkillInfo,Summons a whirling blade of chaos in a line. Every damage type has a 50% chance to deal *0 damage.
CHAOS_2_A4_Magic Hat I,39da7bfe-62a9-42c9-b6c6-440803a481c5,SkillInfo,Produce a random barrel on the target hex.
CHAOS_2_P1_Omnism II,83da8365-956a-4d96-a7d2-4b91dea1c27c,SkillInfo,Increases the effectiveness of shrines by an additional 12%.
CHAOS_2_P2_Sustenance II,ad41f5ac-7da8-4b40-b245-858d3c233159,SkillInfo,Consuming any Globule heals you for 12% of max life and mana.
CHAOS_2_P3_Disruption II,2ad638af-ade9-4047-9bfb-0bdea0b2e4ba,SkillInfo,6% chance to negate all damage when taking damage.
CHAOS_2_P4_Displacement,21da733a-81df-43d4-ba18-2ee0d7a7148d,SkillInfo,Teleport randomly when taking damage.
CHAOS_3_A1_Chaos Cloud,b7623568-8a0e-421a-a9fa-a2e16a695f82,SkillInfo,Summons a cloud of chaos that strikes 3 times. At every strike each damage type has a @50%@ chance to deal *0 damage.
CHAOS_3_A2_Disperse,cdbc5288-d379-4256-8d2f-20c2e71bb77c,SkillInfo,Teleports all enemies within 3 hexes of you to any random hex 4 to 8 hexes from you. Applies a 1 turn slow.
CHAOS_3_A4_Magic Hat II,490820d0-5c0d-4cb6-b6a9-861be353c1e7,SkillInfo,Produce a random Shrine on the target hex. The shrine is destructable and moveable.
CHAOS_3_P1_Variety I,d0081046-c138-449a-a9a8-1af95742348e,SkillInfo,Each turn gain two random buffs that increase the damage of a random element by @40@% this turn. 
CHAOS_3_P2_Affinity,ec7bba0a-75d9-4646-ad4c-0267685eada1,SkillInfo,Each time you deal damage or healing with a specific element gain a stacking buff that increases your damage or healing with that element by 2%. Stacks. Lasts the duration of battle.
CHAOS_3_P3_Aid,9030db1e-ca83-43a1-87f3-5d8dd75c712a,SkillInfo,Healing an ally has a 10% chance to apply Helping.
CHAOS_3_P4_Harm,adca2a3d-dfb9-496a-9937-345c8fd286e7,SkillInfo,Damaging an Enemy has a 10% chance to apply Hurting.
CHAOS_4_A1_Benevolence,56f9fd71-921b-4667-95d9-84f48848c39e,SkillInfo,Applies @Helping@ to all allies.
CHAOS_4_A1_Touch of Chaos,c5fd69aa-49f2-4c3d-ba28-7db2cb1638fa,SkillInfo,Enchant an ally with a random Chaos Modifier.
CHAOS_4_A2_Malevolence,910725e7-09f1-4c8d-88f5-c7771cc8f748,SkillInfo,Applies @Hurting@ to all enemies.
CHAOS_4_A3_Chaos Touch,cbab3dc9-5461-4441-933b-63e139ed3b7c,SkillInfo,Enchant an ally with a random chaos modifier.
CHAOS_4_A4_Magic Hat III,61fb3f6f-619b-4c40-9bb7-959602ceedcc,SkillInfo,Produce a random Globule on the target hex.
CHAOS_4_P1_Variety II,84efd1f5-d6d5-436e-ae82-c5da0515c1cb,SkillInfo,Each turn gain two random buffs that increase the damage of a specfic element by 60% this turn. 
CHAOS_4_P2_Fabricate,395e049f-cb56-4cc4-93ac-ac5a539de9fd,SkillInfo,When you consume a globule you have a 50% chance to spawn a random globule within a 6 hex area of you.
CHAOS_5_A1_Chaos Crush,fb51cb55-667c-4fc2-8133-fe6ed849641e,SkillInfo,Call down chaos to crush your enemies. Deals between *0 and *1 damage within 2 hexes. Always hits with all damage types.
CHAOS_5_A2_Replicate,aba3d603-6b30-464a-b07f-9ae52a59d914,SkillInfo,"Creates a clone of yourself that can cast your abilities. The Replicate Clone explodes for damage on death, each element has a @50%@ chance to deal *0 damage."
CHAOS_5_P1_Reverberate,9c4a6fc9-b7c4-4f59-ae41-111b0c2cbcac,SkillInfo,When you take a @Free Action@ or @Action@ you have a 33% chance explode in chaos dealing all types of damage and healing.
CHAOS_5_P2_Perturb,d9fdbc0b-b2a4-4421-b9d2-5fc851a2d5fa,SkillInfo,"Each time a damage or healing skill is cast, it recieves a random effectiveness modifier from 50% up to 250%. "
Coin of Chaos,b9dc8396-c41d-436a-afb8-2e9b952e4cae,SkillInfo,Flip the Coin of Chaos!
